ResponseID,study,criminals_born_not_made,genetically_predisposed,criminals_will_always_be_criminals,rehabilitation_programs,bob_death_penalty,bob_life_sentence,bob_years_in_prison,bob_eligible_for_parole,ageyears,gender,race,attention_check,use_data
R_cHNGqjHMzcgbNTT,1,2,2,1,6,0,0,40,1,52,man,1,"After work the arsonist set a small shack on fire. He didn't check to make sure it was empty, and he caused the death of a person inside.",1
R_cRUcgbNvfZ78vVr,1,4,3,4,5,1, , , ,25,woman,1,The person sent someones house on fire and someone was in it and died.,1
R_cSZl5aqeSn0uEwB,1,1,1,1,7,0,1, ,1,53,man,1,He got into an argument with a man and kicked him repeatedly until he was dead.,1
R_cZaVhrkFzCvD9k1,1,1,5,2,6,0,0,15,1,36,woman,1,Joe commited an arson and as a result a person was killed in flames.,1
R_ddx6f8oxUjZw2tT,1,1,1,1,7,0,0,20,1, ,woman, ,,0
R_eFClAanI0CTttVH,1,1,2,1,7,0,0,10,1,39,man,1,"One of them was an arsenist and he set a shack or small house on fire, someone who was in it and they dies.",1
R_enZiD6Wu7sJrwqN,1,1,1,1,7,0,0,5,1,34,woman,1,Burned down a house and killed someone who was inside.,1
R_ePDf7ApswiUytHD,1,1,6,2,5,0,0,25,1,59,man,1,Joe kicked a clerk repeatedly after an argument that resulted in the clerk's death,1
R_0DKVLHvxaAbODND,2,1,1,1,5,0,1, ,0,55,man,1,One man kicked another person in the head repeatedly until he was dead.,1
R_10PqD6DBCoi5rwi,2,1,1,6,4,0,0,10,1,28,man,3,Bob burned a shack down and probably unknowingly killed a person inside.,1
R_1eCQ3MxNpLiGMh3,2,2,3,5,5,0,0,30,1,26,man,1,One accidentally burned diwn a shack with a man in it and murdered him. The other violently beat a store clerk in the head.,1
R_1eRXVNGiDO7IQw6,2,4,4,3,5,0, , , ,30,woman,1,joe kicked the man in the head after assaulting him. The clerk died .,1
R_1fjzmqhN3F6XbBX,2,1,5,1,7,0,0,25,0,26,man,1,"Bob burned a shack down, didn't realize a person was in it, and ended up killing that person.",1
R_1hXdlwNrqMkpeYv,2,2,2,4,3,0,1, ,1,48,man,1,set a shack on fire without checking inside. the fire killed the person in the shack,1
R_1JIqfWZHlMnlh3A,2,2, ,4,5,0, , ,1,23,woman,3,Arson that resulted in death.,1
R_1jJQDRDP0p6pxFL,2,1,1,1,7,0,0,30,1,22,man,1,One case involved charges of arson and second-degree murder after the man set a shack on fire while unaware that someone was sleeping inside.,1
R_1LqxientmUqJrCA,2,4,5,5,5,0,0,5,1,43,man,1,One beat a man to death and the other accidentally set a fire where someone died.,1
R_1MRKfI5hqY7fuz6,2,1,2,5,2,0,0,20,0,20,man,1,One man got into an argument with a sales clerk that escalated into violence. The man kicked the clerk in the head while he was on the floor and the clerk died.,1
R_1mV1AiWGYgyAzMH,2,1,1,1,6,0,0,15,1,47,man,5,One of the guys assaulted a store clerk and in the process kicked the clerk to death,1
R_1NmOTNE7Muxn5nC,2,4,3,6,3,1, , , ,30,woman, ,One was larson,1
R_1PcpYdgEmkv9are,2,1,1,6,5,0,0,15,1,49,woman,1,Murder during the commission of a robbery.,1
R_1rv6ll1P88gjuye,2,1,2,1,6,0,1, ,1,55,man,1,The first one was an arsonist who inadvertantly killed someone who was inside the building he set on fire.,1
R_22LEStTmmQryXmJ,2,1,3,4,5,0,0,20,1,29,woman,1,Arson and murder.,1
R_22YbgSS4Eb6SJ35,2,5,6,5,6,0,1, ,0,25,woman,1,A man was an arson and lit a shed on fire killing a person inside it that was asleep.,1
R_2Ce8bY2vk9x79i2,2,3,4,4,3,0,0,15,1,49,woman,1,Joe was an arsonist the killed someone accidentally after lighting a shack on fire.,1
R_2cjdGDROHp0Eprq,2,2,2,2,5,0,1, ,1,24,woman,3,Second degree murder by making an arson,1
R_2fetTBGkPxZrJzC,2,2,4,2,5,0,0,25,0,35,woman,1,Bob: One of the crimes involved after work setting fire to a shed-like building in which there was someone inside sleeping and that person died.,1
R_2qgEWwziUkMYjlr,2,2,2,2,4,0,1, ,1,65,woman,1,Joe committed murder by repeatedly kicking a clerk in the head.,1
R_2tA9luXlUn2BUEe,2,1,2,3,7,0,0,10,1,49,man,1,"Joe got in an arguement with a clerk and kicked his head, causing the clerk's death; Bob is a fire-bug, lighting  a shed on fire, not knowing a person was inside, causing that person to die.",1
R_2TNqXFXBsLbfHOa,2,1,1,1,6,0,0,15,0,31,woman,3,"One of the men set a shack on fire not knowing that someone was inside, and that person died",1
R_2v05VbOKaQK8C3r,2,2,3,1,6,0,1, ,0,56,man,1,Arson and Murder. He set a shack on fire and a man was inside who burnt to death.,1
R_2v8PA2Hbh2aQ1gJ,2,4,4,7,1,1, , , ,39,man,1,He loved fire. He set fire to a building that burned which end d up having someone inside who died,1
R_2VJGSwjKa9NHmIC,2,1,1,1,4,0,1, ,1,48,woman,5,One of the crimes involved arson - the man set fire to a structure. He was unaware that there was a sleeping man within.,1
R_2Xh657uqWyTC441,2,1,2,2,7,0,0,20,1,40,man,1,"One of the men set a hut on fire not knowing that someone was inside, and the person was killed.",1
R_2y1rVqZnS41dSCa,2,1,2,4,5,0,0,15,0,39,man,2,Arson,1
R_2yr5bNDwJePXIi0,2,1,1,4,4,0,1, ,1,26,man,2,"one man got into an altercation, hit a clerk in the head and the man died",1
R_2YzSVhLBQdNmXSw,2,1,1,1,6,0,0,10,1,38,man,1,Joe killed a store clerk during an argument by kicking him multiple times.,1
R_3fJiiAC9h95RKMX,2,1,1,1,6,0,0,25,1,57,man,1,"One set fire to a shack, unaware of the sleeping person inside who died as the result.",1
R_3fJXbD5ZimhTxBZ,2,1,1,1,6,1, , , ,42,man,1,One of the men set fire to a shack with someone inside.,1
R_3foqZaatFKtvccJ,2,5,5,4,5,0,0,10,1,62,woman,1,in a store he got in argument. knock clerk to ground and kicked in head til dead,1
R_3FVYZ6kZ0jtTD2o,2,2,4,1,6,0,0,10,1,56,woman,1,One started a shed on fire killing someone sleeping inside.,1
R_3G9VXfRmioj05mT,2,4,4,5,3,0,0,20,1,31,woman,1,One of them beat a man during a store robbery and killed him. It mentioned he had a history of violence.,1
R_3gT16DN1WUUJexi,2,4,4,1,6,0,1, ,1,22,man,2,Bob has always been interested infires. One day he lit a small shed on fire and didnt know someone was sleeping in there. He was charged with first degree murder.,1
R_3HAMjImHp9GBqEU,2,2,2,5,2,1, , , ,68,man,1,The person set fire to a shack because he was fascinated by fire and killed the person sleeping inside,1
R_3I0KBYjECzfLzJQ,2,1,1,3,3,0, , , ,37,woman,1,Guy beat someone to death in the checkout line of a store.,1
R_3I3lmYpVeDi64YP,2,1,1,2,7,0,0,10,1,21,man,1,Joe murdered a store clerk,1
R_3Je2gRdcE1Eu9mB,2,3,4,3,7,0,0,10,1,30,woman,1,The person lit fire to a shed and there was a person inside sleeping that died.,1
R_3jVaSBa5evIzBmH,2,1,1,1,6,0,1, ,1,34,woman,1,"one was an arsonist, burned down a building which had someone sleeping in there that he was not aware of.",1
R_3KSyDESHRkisAlW,2,3,5,4,5,1, , , ,32,man,1,One of the men are serving time for murder.,1
R_3KUtzQDROxZttXQ,2,5,4,4,3,0,0,20,1,27,woman,1,One of them committed arson on a shed where the shed burned down and they didn't check if someone was sleeping inside and that person died.,1
R_3lVSbL3XbCTr96Q,2,2,4,2,6,1, , , ,30,man,1,an older man was attacked on the street,0
R_3Ma1U27KnoR4dMn,2,1,1,2,6,0,0,15,1,48,woman,1,One of them set fire to a shack without checking to see if anyone was inside and thus killed him.,1
R_3mjyT6FlX2dIvTO,2,1,1,1,5,0,0,10,1,27,woman,1,"Bob set fire to a shack. It turns out, someone was in there and they died.",1
R_3nGYf0Hhy40KTt2,2,3,5,3,4,0,1, ,0,31,woman,1,Joe got into an argument with a clerk. He beat the clerk to death and was charged with murder.,1
R_3nNHAujhD5kQjBw,2,2,2,1,6,1, , , ,39,woman,6,"Bob has a fascination with fire so one day he sets a building on fire, he doesn't know there is a person in there and the person dies.",1
R_3OuvdpyqkAiL9F7,2,2,4,4,2,1, , , ,45,man,1,joe set a shack onfire that had someone sleeping in it and killed them,1
R_3qKI0I9Of1i5e0R,2,1,3, ,7,0,1, ,0,33,man,1,Bob became very hostile in a store and committed murder. He beat and kicked the store clerk in the head.,1
R_3t86I8oWvwBrZtz,2, ,1,1,7,1, , , ,36,man,2,ONE OFF THE GENTLEMEN WENT INTO A STORE AND KICKED THE STORE ATTENTDANT TO DEATH,1
R_9LlVRyy6qr2b6dL,2,1,3,5,6,1, , , ,28,woman,2,"Joe liked playing with fire. He ended up getting charged with arson for burning down, what he thought, an empty shack killing someone who was sleeping inside.",1
R_d9UCPNHyPzxVidH,2,1,1,2,6,0,0,20,1,42,man,1,Joe who has a history of violent behavior is charged with second degree murder as he killed a store clerk by repeatedly kicking them in the head,1
R_OoNhW94Qv1g24rn,2,1,1,1,6,0,0,10,1,22,man,2,arson along with first degree murder,1
R_PNIA1hCXR6E5EhH,2,4,1,1,4,1, , , ,50,man,1,one of them set a shed on fire not knowing someone was sleeping inside and killed the person,1
R_qDBnosHHL0Z31y9,2,2,4,2,5,0,0,5,1,38,woman,1,Arson,1
R_Rq9Rxfx8f55eIiR,2,2,2,2,6,0, , , ,43,man,1,Joe liked to start fires. He burned down a house not knowing a person was in it. He was charged with murder.,1
R_sSWzRFHPxHVpnfr,2,1,1,4,6,0, , , ,50,man,1,"joe is facinated by fire and lit a shed on fire, there was someone sleeping in the shed he didn't know was there and that person died.",1
R_UPz9hgqdooXrFu1,2,2,2,4,5,0,0,20,1,26,man,3,Bob set fire to a small shack and ended up killing someone inside of it,1
R_WBCVj80bJmoNMHv,2,2,3,2,6,0,1, ,1,35,man,1,"One of them was an arsonist who started a small shed on fire. He did not check before starting the fire, and there was a person in the shed, who died.",1
R_XFIrTIWxXfJtKKt,2,1,1,1,7,1, , , ,36,woman,1,One of them burned down a shack with someone inside who died from the fire.,1
R_XvlwjyoGctmU0tX,2,1,1,1,6,0, , , ,34,woman,3,"One of the crimes was arson, Joe, lit a shack on fire and did not realize that someone was sleeping inside. That person died from the blaze",1
R_YYYLSzCpTc4u5BD,2,1,1,3,7,0,0,10,1,32,woman,1,bob was fascinated by fire. bob was arrested for arson and murder. one day after work bob started a shack on fire and forgot to check if somebody was inside. There was a person sleeping in the shack and the pe,1
R_Zkrg86xl8Q9UftL,2,1,1,1,7,0,0,10,1,35,man,1,"Arson (and murder because of that, though it wasn't intentional)",1
R_01zmmOyt50tzYVb,2,2,2,1,5,0,0,12,1,45,woman,2,"Bob was fascinate by fire, and sometimes committed arson. One day he burned down a shed and a man inside was killed.",1
R_0CEpbuxZOXlNMSp,2,1,1,3,6,1, , , ,37,woman,1,A clerk was attacked during an argument and repeatedly kicked when he was down. He later died.,1
R_1CHN5slIKTtbzod,2,1,2,2,6,0, , ,1,37,man,1,"One set a shack on fire, accidentally killing a person inside.",1
R_1et6gI2PjWSOe8d,2,4,4,3,5,0,0,10,1,32,man,1,one of them set fire to a shack and killed someone who was sleeping inside,1
R_1f8xlLZBPs6vq4q,2,2,5,2,6,0,0,10,1,22,woman,3,"Got angry at a store manager. While the manager was down, got kicked in the head, and died by the time the police came.",1
R_1fZ9D08bnYmkoxD,2,3,4,3,5,0, , ,1,25,man,1,the second guy was charged with second degree murder i believe,1
R_1IrZF56E1xCrTeJ,2,2,2,2,5,0,0,20,1,65,woman,1,Bob started a fire in a shed and killed a guy.,1
R_1LXp748gDrFofNm,2,1,2,2,5,0,0,31,1,34,woman,1,"One of the guys loved fire, and he set a shack on fire.  He was unaware that there was a man inside of the shack.  The man ended up dying in the fire.",1
R_1PcTrj8Kf0ImnFJ,2,1,4,1,6,0,1, ,0,24,man,1,One of the men committed Arson one day and killed an individual inside a small house. He was not aware he was inside. He was guilty of arson and murder.,1
R_1q3fm8iLOpzwUzv,2,1,2,1,6,0,1, ,1,64,woman,1,arson that also involved murder,1
R_1r8oiVsVPrIkDl0,2,1,1,1,6,0,1, ,1,39,woman,1,Bob appears to me a pyromanic. He burned down a shed and accidentally killed someone.,1
R_22VUELGyrpXd6MH,2,1,5,1,7,1, , , , ,woman, ,.,0
R_23TuSfEZgHW10gy,2,2,2,2,6,0,0,5,1,40,woman, ,One of them set fire to a shack killing people inside.,1
R_23UBr4QaXNcJfi1,2,3,1,4,7,0,1, ,0,56,man,1,bob was infatuated with fire and burned down a shack but did not know that someone was in the shack at the time and died as a result of the fire.,1
R_26nDg3Y6Z95ySn1,2,1,1,1,6,0,1, ,0,46,woman,1,had set a fire to a shack and there was a person in there sleeping and he died he thought the shack was abondened,1
R_27a0Qbkuupvmpzb,2,3,6,3,5,1, , , ,27,woman,1,Bob committed arson by lighting a shack on fire.,1
R_27x5j56s2wZH68C,2,2,2,3,4,0,1, ,0,32,woman,5,"A pyromaniac sat fire to a building without checking to see if anyone was inside first, the resulting fire wound up killing someone.",1
R_2cbY4C7ELfjfWUu,2,1,1,1,7,0,1, ,1,45,man,1,One of them assaulted a man by kicking him repeatedly in the head. He died from the injuries.,1
R_2dX8YReY6QyBwf3,2,1,5,5,5,0,0,20,1,32,woman,1,"Bob set fire to a shack, not knowing that someone was inside.  The person died, and Bob was charged with a crime.",1
R_2eXNajPe9apmbkN,2,1,2,4,3,0,0,15,1,33,woman,1,Joe got into an argument with a store clerk and eventually assaulted the clerk kicking the clerk in the head leading to the murder of the clerk.,1
R_2qazcMbXWu2r77X,2,7,7,7,7,1, , , ,42,man,1,got into a fight with a store clerk and killed him.,1
R_2QiyvMDLDWuAboE,2,2,4,5,6,1, , , ,29,man,1,setting a fire,1
R_2R7wCF1yE3isNUI,2,4,4,4,4,0,0,25,0,44,woman,3,Bob set fire to a shed on his property and in the shed lived a person who died from the fire.,1
R_2rPo0OC0WqjDf90,2,6,6,5,4,1, , , ,52,man,1,They both committed the crime of murder.,1
R_2t4YU0nv8wuImSl,2,1,6,1,7,1, , , ,23,woman,5,Bob set a fire to a house but didn't know there was someone inside,1
R_2t5v4bo6a8addsf,2,1,2,4,5,0, , , ,38,man,1,Joe kicked a cashier in the head and he died.,1
R_2tlfyLKYRjaSDhE,2,1,1,1,7,0,0,15,1,29,man,1,Set a shed on fire with a person inside,1
R_2WM91bKVjgl1cGV,2,1,2,4,5,0,1, ,0,46,woman,1,Arson where someone died in the fire,1
R_2zphx1ZfZJGSZ0h,2,2,2,2,6,0,1, ,1,25,man,1,Bob set fire to a shed but didn't know someone was inside and killed the person inside,1
R_325C3wLHFQ7jBTf,2,2,5,4,3,0,0,10,0,35,woman,1,He kicked someone to death in a store.,1
R_32JesTwgp6pgAwZ,2,2,2,2,6,0,0,10,1,21,man,1,Set a small house on fire without knowing there was a person inside,1
R_3DcZPOSCnw0BRgZ,2,1,2,3,5,1, , , ,33,man,1,"burning down a shed without checking to see if anyone was inside, which caused someone to die",1
R_3dFazYikIiCUoTZ,2, ,2,1,7,0,0,50,1,30,man,2,Joe killed a clerk by kicking him in the head.,1
R_3fZrpp3G2lZKgvA,2,2,2,3,4,0,1, ,0,50,man,1,set fire to a shack and killed someone sleeping inside,1
R_3iEGaCFMQinPMYk,2,3,5,3,6,0,1, ,0,63,man,1,Guy liked starting fires. One day he set fire to a shack without checking to see if someone was inside first. That person burned to death.,1
R_3ilJ66L3orRA3Ug,2,1,1,2,6,0,0,20,1,43,man,1,In one of the crimes Joe became angry and got in a fight with a clerk. Things escalated until the clerk ended up being down on the ground and was kicked in the head more than once. The clerk later died from th,1
R_3KSWkhKhCi0GGd0,2,3,5,3,5,0,0,40,1,39,man,1,"Bob liked setting fires so he set fire to a shed, but he didn't realize someone was inside and the fire killed the person inside.",1
R_3KvGvSNOo1hp01Y,2,1,1,1,6,0,0,15,1,32,woman,1,He beat someone's head in and killed them.,1
R_3negshCuJ4j99ZN,2,2,4,3,5,0,1, ,1,35,woman,1,Joe burned down a shed without checking inside and killed someone,1
R_3NF1Nf5bWiWJcmt,2,1,5,6,1,1, , , ,39,man,1,liked fire and set fire to a small shed without checking inside and someone inside died as a result.,1
R_3prKg5FMVGIWakl,2,2,5,4,6,1, , , ,27,woman,1,joe beat a clerks head in,1
R_3qaF4YiDaKNKpF4,2,7,3,4,4,0,0,3,1,45,man,2,arson and murder,1
R_3QRS6JM5QK15RGa,2,4,4,3,4,0,1, ,0,32,man,1,Bob has always had a fascination with fire and was arrested for arson and 2nd degree murder after setting fire to a small shack without checking inside and killing a person.,1
R_3Ra8dhGu7DHODYt,2,2,5,6,4,0,0,25,1,58,man,3,One was an arsonist and the other one killed a store clerk.,1
R_3smPVZiM5JM6gg9,2,1,1,2,6,0,0,40,1,24,man,5,A man with an affinity for arson set fire to a shack without realizing there was someone inside and ended up killing that person.,1
R_57kGu0DqmXlkuFb,2,2,2,1,6,0,0,8,1,41,woman,3,Getting into an arugment with a clerk then kicking him in the head till he died.,1
R_5aIZFHZvnogrVkN,2,1,4,1,6,0,0,20,1,29,woman,1,"Got in a disagreement with a store clerk, assaulted the clerk, and then stepped on/kicked the person in the head after they were on the ground.",1
R_8iUq3SykjTdMXlz,2,2,3,3,5,0,0,15,1,29,woman,3,Bob was fascinated with fire and started a fire in a shack near his home. He did not know that a person was sleeping inside that shack. Bob was arrested and charged with arson and second degree murder.,1
R_cCldCdPRqQ3PMXv,2,3,4,5,4,0,1, ,0,39,man,1,Bob set fire to a building and he didn't realize that anyone was inside - but there was and that person ended up dying.,1
R_cHdhkDBTXfWHLc9,2,7,6,7,7,1, , , ,28,woman,2,bob committed armed robbery,1
R_DDjUfqCNVVzSko1,2,1,1,1,7,0,0,10,1,57,woman,2,AN ARSONIST SET FIRE TO A BUILDING KILLING SOMEONE INSIDE THAT HE DID NOT KNOW WAS THERE.,1
R_DTrJKPYQSk80LgB,2,2,2,2,6,0,0,25,1,41,man,1,Arson resulting in second degree murder,1
R_OoHB4MW0xqHEbvz,2,1,1,1,7,0, , , ,50,man,1,joe killed a store clerk,1
R_Qb4NRkwZLpmAP4t,2,3,5,2,7,0,1, ,1,57,man,1,one got in an argument with a store clerk and kicked him to death,1
R_SN2dXH0U9fY4Re9,2,3,3,5,5,0,1, ,0,27,woman,1,burned down a house with someone still inside,1
R_spLk6sUHl7s6H4J,2,3,5,2,4,0,1, ,1,62,man,1,"One of them burned down a shed (or house, I don't recall which) without checking inside to see if there were any people and someone died; the other one attacked a clerk in a store and kicked him in the head un",1
R_U9LrE6UR6UzzMqt,2,1,1,1,6,1, , , ,54,man,1,Joe beat the clerk and kicked his head in and killed him.,1
R_Z3r3Af9Dqx7mWrL,2,5,5,4,4,0,0,30,0,38,man,3,Bob was charged with arson and 2nd degree murder after he burned a person alive. He liked to play with fire. He set the schack on fire and never checked if there was person inside.,1
R_Ze56AYyDGy90Cm5,2,3,3,5,4,1, , , ,29,man,5,Joe kicked someone right in his head and killed him.,1
R_0cxOU5fqFZbiQjn,3,2,4,5,4,0, , ,0,45,woman,1,Arson which resulted in death. Charged with 2nd degree murder.,1
R_12m2Nbq0BaeNKDI,3,1,1,4,5,0,1, ,0,25,woman,1,One man committed arson which led to the death of someone he did not know was inside the building.,1
R_1cUF2mY09NwuLR5,3,4,5,4,5,0,0,10,0,40,man,1,Bob set fire to a shed and killed a person sleeping in it,1
R_1dcNxqqyXQdyJ8Y,3,1,4,1,4,0, , , ,32,woman,3,Bob was an arsonist and accidentally killed a man who was sleeping inside the shack he burned down.,1
