"","authorID","title","StartDate","EndDate","Status","Progress","Duration..in.seconds.","Finished","RecordedDate","RecipientLastName","RecipientFirstName","RecipientEmail","ExternalReference","DistributionChannel","UserLanguage","consent_agree","instr1RT_First.Click","instr1RT_Last.Click","instr1RT_Page.Submit","instr1RT_Click.Count","instr5RT_First.Click","instr5RT_Last.Click","instr5RT_Page.Submit","instr5RT_Click.Count","gender","language","age","ethn","edu","ses","belief","unclear","comments","arr","tN","looplist","subN","trialN","authorN","t","authorNtoMatch","careCommAccurately","immoralBehavior","Q33_Click.Count","Q33_First.Click","Q33_Last.Click","Q33_Page.Submit","Q34_Click.Count","Q34_First.Click","Q34_Last.Click","Q34_Page.Submit","Q362_Click.Count","Q362_First.Click","Q362_Last.Click","Q362_Page.Submit","Q363_DO","tyringAppearMoral","narrN","bestLen","neutralLen","worstLen","wordLength","repDiff"
"11",1,"I was a cheating jerk to my ex girlfriend.","4/19/21 21:31","4/19/21 21:38","IP Address",100,444,TRUE,"4/19/21 21:38",NA,NA,NA,NA,"anonymous","EN","I have read the above information, have had the opportunity to have any questions about this study answered and agree to participate in this study.",0,0,4.107,0,0,0,3.264,0,"female","Yes",47,"White","Bachelor’s degree (e.g. BA, BS)",4,4,"Everything was very clear","999","W",11,"1_2_3_4_5_6_7_8_9_10_11_12",208,4,1,"Original",1,100,23,3,1.742,6.123,6.947,0,0,0,10.965,0,0,0,10.964,"&nbsp;",73,"1_Original",131,86,99,86,50
"12",1,"I was a cheating jerk to my ex girlfriend.","4/19/21 22:15","4/19/21 22:23","IP Address",100,434,TRUE,"4/19/21 22:23",NA,NA,NA,NA,"anonymous","EN","I have read the above information, have had the opportunity to have any questions about this study answered and agree to participate in this study.",0,0,0.535,0,18.264,19.605,23.689,2,"Male","Yes",26,"White","High school degree or equivalent (e.g. GED)",9,2,"999","999","B",11,"1_2_3_4_5_6_7_8_9_10_11_12",247,4,1,"Original",1,89,86,7,7.386,10.814,11.41,0,0,0,25.931,0,0,0,25.93,"&nbsp;",25,"1_Original",131,86,99,86,-61
"13",1,"I was a cheating jerk to my ex girlfriend.","4/20/21 0:07","4/20/21 0:27","IP Address",100,1231,TRUE,"4/20/21 0:27",NA,NA,NA,NA,"anonymous","EN","I have read the above information, have had the opportunity to have any questions about this study answered and agree to participate in this study.",0,0,5.724,0,0,0,10.201,0,"male","No",57,"Asian","Associate degree (e.g. AA, AS)",3,4,"none.","none.","N",11,"1_2_3_4_5_6_7_8_9_10_11_12",278,4,1,"Best",1,41,92,5,10.118,23.709,24.435,0,0,0,33.477,0,0,0,33.477,"&nbsp;",0,"1_Best",131,86,99,131,-92
"14",1,"I was a cheating jerk to my ex girlfriend.","4/19/21 18:05","4/19/21 18:22","IP Address",100,997,TRUE,"4/19/21 18:22",NA,NA,NA,NA,"anonymous","EN","I have read the above information, have had the opportunity to have any questions about this study answered and agree to participate in this study.",0,0,13.21,0,0,0,16.828,0,"male","Yes",50,"White","Bachelor’s degree (e.g. BA, BS)",7,4,"no","no","W",11,"1_2_3_4_5_6_7_8_9_10_11_12",30,5,1,"Original",1,82,55,4,10.197,22.764,23.716,0,0,0,33.415,0,0,0,33.414,"&nbsp;",60,"1_Original",131,86,99,86,5
"15",1,"I was a cheating jerk to my ex girlfriend.","4/19/21 19:47","4/19/21 19:56","IP Address",100,499,TRUE,"4/19/21 19:56",NA,NA,NA,NA,"anonymous","EN","I have read the above information, have had the opportunity to have any questions about this study answered and agree to participate in this study.",0,0,2.832,0,0,0,7.188,0,"female","Yes",33,"White","Master’s degree (e.g. MA, MS, MEd)",5,4,"n/a","n/a","N",11,"1_2_3_4_5_6_7_8_9_10_11_12",145,5,1,"Original",1,51,50,3,2.161,12.013,12.877,0,0,0,12.224,0,0,0,12.224,"&nbsp;",66,"1_Original",131,86,99,86,16
"16",1,"I was a cheating jerk to my ex girlfriend.","4/19/21 20:55","4/19/21 21:05","IP Address",100,581,TRUE,"4/19/21 21:05",NA,NA,NA,NA,"anonymous","EN","I have read the above information, have had the opportunity to have any questions about this study answered and agree to participate in this study.",0,0,4.137,0,0,0,7.043,0,"female","Yes",50,"White","Bachelor’s degree (e.g. BA, BS)",7,4,"none","none","B",11,"1_2_3_4_5_6_7_8_9_10_11_12",179,5,1,"Original",1,65,31,3,36.474,43.499,44.272,0,0,0,12.214,0,0,0,12.214,"&nbsp;",56,"1_Original",131,86,99,86,25
"17",1,"I was a cheating jerk to my ex girlfriend.","4/19/21 18:07","4/19/21 18:23","IP Address",100,997,TRUE,"4/19/21 18:23",NA,NA,NA,NA,"anonymous","EN","I have read the above information, have had the opportunity to have any questions about this study answered and agree to participate in this study.",0,0,12.942,0,0,0,21.869,0,"male","Yes",72,"White","Bachelor’s degree (e.g. BA, BS)",8,4,"You should have proof read the comments.  Some sentences didn't make sense.","none","W",11,"1_2_3_4_5_6_7_8_9_10_11_12",35,6,1,"Original",1,81,24,4,3.003,13.863,15.259,0,0,0,29.469,0,0,0,29.47,"&nbsp;",61,"1_Original",131,86,99,86,37
"18",1,"I was a cheating jerk to my ex girlfriend.","4/19/21 18:19","4/19/21 18:32","IP Address",100,799,TRUE,"4/19/21 18:32",NA,NA,NA,NA,"anonymous","EN","I have read the above information, have had the opportunity to have any questions about this study answered and agree to participate in this study.",0,0,11.528,0,0,0,20.127,0,"Female","Yes",64,"White","Associate degree (e.g. AA, AS)",7,3,"All was fine","No","B",11,"1_2_3_4_5_6_7_8_9_10_11_12",77,7,1,"Original",1,73,32,4,2.743,8.606,9.356,0,0,0,20.015,0,0,0,20.016,"&nbsp;",36,"1_Original",131,86,99,86,4
"19",1,"I was a cheating jerk to my ex girlfriend.","4/19/21 21:38","4/19/21 21:47","IP Address",100,558,TRUE,"4/19/21 21:47",NA,NA,NA,NA,"anonymous","EN","I have read the above information, have had the opportunity to have any questions about this study answered and agree to participate in this study.",0,0,0.603,0,0,0,2.865,0,"female","Yes",29,"White","Bachelor’s degree (e.g. BA, BS)",6,4,"999","999","B",11,"1_2_3_4_5_6_7_8_9_10_11_12",216,7,1,"Original",1,68,35,5,1.254,4.95,5.459,0,0,0,12.132,0,0,0,12.132,"&nbsp;",57,"1_Original",131,86,99,86,22
"20",1,"I was a cheating jerk to my ex girlfriend.","4/19/21 18:32","4/19/21 18:43","IP Address",100,614,TRUE,"4/19/21 18:43",NA,NA,NA,NA,"anonymous","EN","I have read the above information, have had the opportunity to have any questions about this study answered and agree to participate in this study.",0,0,6.145,0,0,0,10.751,0,"female","Yes",26,"White,Hispanic, Latinx, or Spanish origin","Master’s degree (e.g. MA, MS, MEd)",6,4,"N/A","Thanks!","N",11,"1_2_3_4_5_6_7_8_9_10_11_12",112,8,1,"Best",1,89,36,3,1.697,5.387,6.462,0,0,0,14.922,0,0,0,14.922,"&nbsp;",78,"1_Best",131,86,99,131,42
"21",1,"I was a cheating jerk to my ex girlfriend.","4/19/21 21:10","4/19/21 21:46","IP Address",100,2189,TRUE,"4/19/21 21:46",NA,NA,NA,NA,"anonymous","EN","I have read the above information, have had the opportunity to have any questions about this study answered and agree to participate in this study.",0,0,133.898,0,0,0,131.401,0,"male","Yes",23,"Black or African American","High school degree or equivalent (e.g. GED)",3,4,"999","999","N",11,"1_2_3_4_5_6_7_8_9_10_11_12",214,8,1,"Worst",1,61,0,9,0.946,13.202,14.667,1,49.788,49.788,50.703,1,49.787,49.787,50.703,"&nbsp;",51,"1_Worst",131,86,99,99,51
"22",1,"I was a cheating jerk to my ex girlfriend.","4/19/21 18:15","4/19/21 18:31","IP Address",100,950,TRUE,"4/19/21 18:31",NA,NA,NA,NA,"anonymous","EN","I have read the above information, have had the opportunity to have any questions about this study answered and agree to participate in this study.",0,0,11.621,0,0,0,17.641,0,"female","Yes",73,"White","Master’s degree (e.g. MA, MS, MEd)",5,4,"Nothing was unclear.","The instructions were very well written. Thank you for an interesting survey!","N",11,"1_2_3_4_5_6_7_8_9_10_11_12",73,9,1,"Worst",1,99,8,5,2.803,9.487,12.11,0,0,0,67.501,0,0,0,67.501,"&nbsp;",7,"1_Worst",131,86,99,99,-1
"23",1,"I was a cheating jerk to my ex girlfriend.","4/19/21 18:14","4/19/21 18:37","IP Address",100,1381,TRUE,"4/19/21 18:37",NA,NA,NA,NA,"anonymous","EN","I have read the above information, have had the opportunity to have any questions about this study answered and agree to participate in this study.",0,0,16.576,0,0,0,39.095,0,"female","Yes",62,"White","High school degree or equivalent (e.g. GED)",3,4,"All was clear.","none at this time","W",11,"1_2_3_4_5_6_7_8_9_10_11_12",95,9,1,"Worst",1,75,15,3,9.703,22.055,23.033,0,0,0,34.82,0,0,0,34.819,"&nbsp;",75,"1_Worst",131,86,99,99,60
"24",1,"I was a cheating jerk to my ex girlfriend.","4/19/21 22:58","4/19/21 23:09","IP Address",100,647,TRUE,"4/19/21 23:09",NA,NA,NA,NA,"anonymous","EN","I have read the above information, have had the opportunity to have any questions about this study answered and agree to participate in this study.",0,0,2.657,0,0,0,7.955,0,"Male","Yes",25,"White,Hispanic, Latinx, or Spanish origin","High school degree or equivalent (e.g. GED)",4,4,"N/A","Surveys rule!","N",11,"1_2_3_4_5_6_7_8_9_10_11_12",267,9,1,"Best",1,75,83,6,4.563,12.764,13.626,0,0,0,25.984,0,0,0,25.983,"&nbsp;",5,"1_Best",131,86,99,131,-78
"25",1,"I was a cheating jerk to my ex girlfriend.","4/19/21 18:07","4/19/21 18:39","IP Address",100,1949,TRUE,"4/19/21 18:39",NA,NA,NA,NA,"anonymous","EN","I have read the above information, have had the opportunity to have any questions about this study answered and agree to participate in this study.",0,0,22.287,0,0,0,22.054,0,"female","Yes",63,"White","Some college, no degree",5,4,"Everything was clear.","No","B",11,"1_2_3_4_5_6_7_8_9_10_11_12",102,10,1,"Original",1,72,16,5,8.137,55.11,55.964,0,0,0,63.041,0,0,0,63.041,"&nbsp;",60,"1_Original",131,86,99,86,44
"26",1,"I was a cheating jerk to my ex girlfriend.","4/19/21 18:48","4/19/21 19:05","IP Address",100,996,TRUE,"4/19/21 19:05",NA,NA,NA,NA,"anonymous","EN","I have read the above information, have had the opportunity to have any questions about this study answered and agree to participate in this study.",0,0,123.564,0,0,0,1.2,0,"male","Yes",35,"White","Doctorate (e.g. PhD, EdD)",9,3,"it is perfect","none","W",11,"1_2_3_4_5_6_7_8_9_10_11_12",127,10,1,"Original",1,42,37,4,1.367,3.995,4.652,0,0,0,10.884,0,0,0,10.884,"&nbsp;",35,"1_Original",131,86,99,86,-2
"27",1,"I was a cheating jerk to my ex girlfriend.","4/19/21 22:09","4/19/21 22:26","IP Address",100,983,TRUE,"4/19/21 22:26",NA,NA,NA,NA,"anonymous","EN","I have read the above information, have had the opportunity to have any questions about this study answered and agree to participate in this study.",0,0,14.98,0,0,0,10.346,0,"Male","Yes",48,"Black or African American","Associate degree (e.g. AA, AS)",7,1,"Nothing was unclear","No","N",11,"1_2_3_4_5_6_7_8_9_10_11_12",250,10,1,"Worst",1,100,0,3,1.235,4.276,5.754,0,0,0,14.415,0,0,0,14.416,"&nbsp;",0,"1_Worst",131,86,99,99,0
"28",1,"I was a cheating jerk to my ex girlfriend.","4/19/21 22:07","4/19/21 22:28","IP Address",100,1273,TRUE,"4/19/21 22:28",NA,NA,NA,NA,"anonymous","EN","I have read the above information, have had the opportunity to have any questions about this study answered and agree to participate in this study.",0,0,47.006,0,0,0,32.752,0,"female","Yes",63,"Black or African American","Bachelor’s degree (e.g. BA, BS)",6,4,"All the information was very clear to me.","No comments. Thank you.","W",11,"1_2_3_4_5_6_7_8_9_10_11_12",252,10,1,"Worst",1,65,53,3,11.89,23.296,24.896,0,0,0,41.629,0,0,0,41.628,"&nbsp;",51,"1_Worst",131,86,99,99,-2
"29",1,"I was a cheating jerk to my ex girlfriend.","4/19/21 21:12","4/19/21 21:24","IP Address",100,682,TRUE,"4/19/21 21:24",NA,NA,NA,NA,"anonymous","EN","I have read the above information, have had the opportunity to have any questions about this study answered and agree to participate in this study.",0,0,6.317,0,0,0,12.331,0,"female","Yes",48,"White","Some college, no degree",5,4,"It was very clear.","No.","N",11,"1_2_3_4_5_6_7_8_9_10_11_12",195,11,1,"Best",1,91,42,3,2.48,9.482,10.848,0,0,0,20.347,0,0,0,20.347,"&nbsp;",40,"1_Best",131,86,99,131,-2
"30",1,"I was a cheating jerk to my ex girlfriend.","4/19/21 18:10","4/19/21 18:22","IP Address",100,741,TRUE,"4/19/21 18:22",NA,NA,NA,NA,"anonymous","EN","I have read the above information, have had the opportunity to have any questions about this study answered and agree to participate in this study.",0,0,7.688,0,0,0,17.935,0,"male","Yes",40,"White","Associate degree (e.g. AA, AS)",4,3,"The instructions were clear.","I would suggest at least editing the grammar of the stories.","B",11,"1_2_3_4_5_6_7_8_9_10_11_12",29,12,1,"Original",1,75,65,3,1.994,9.397,10.443,0,0,0,16.378,0,0,0,16.378,"&nbsp;",65,"1_Original",131,86,99,86,0
"31",1,"I was a cheating jerk to my ex girlfriend.","4/19/21 19:09","4/19/21 19:23","IP Address",100,844,TRUE,"4/19/21 19:23",NA,NA,NA,NA,"anonymous","EN","I have read the above information, have had the opportunity to have any questions about this study answered and agree to participate in this study.",0,0,9.237,0,0,0,21.06,0,"male","Yes",70,"White","Master’s degree (e.g. MA, MS, MEd)",7,4,"Everything was clear.","no","B",11,"1_2_3_4_5_6_7_8_9_10_11_12",134,12,1,"Worst",1,63,66,3,5.186,12.592,13.39,0,0,0,18.944,0,0,0,18.944,"&nbsp;",86,"1_Worst",131,86,99,99,20
"32",1,"I was a cheating jerk to my ex girlfriend.","4/19/21 20:42","4/19/21 20:49","IP Address",100,425,TRUE,"4/19/21 20:49",NA,NA,NA,NA,"anonymous","EN","I have read the above information, have had the opportunity to have any questions about this study answered and agree to participate in this study.",0,0,2.791,0,0,0,4.67,0,"45","Yes",45,"White","Bachelor’s degree (e.g. BA, BS)",5,4,"none","no","B",11,"1_2_3_4_5_6_7_8_9_10_11_12",169,12,1,"Best",1,90,21,7,5.163,11.787,12.507,0,0,0,15.02,0,0,0,15.02,"&nbsp;",18,"1_Best",131,86,99,131,-3
"33",1,"I was a cheating jerk to my ex girlfriend.","4/19/21 22:55","4/19/21 23:00","IP Address",100,309,TRUE,"4/19/21 23:00",NA,NA,NA,NA,"anonymous","EN","I have read the above information, have had the opportunity to have any questions about this study answered and agree to participate in this study.",0,0,2.277,0,0,0,3.871,0,"Male","Yes",21,"White","Some college, no degree",5,4,"999","999","N",11,"1_2_3_4_5_6_7_8_9_10_11_12",265,12,1,"Worst",1,92,3,7,0.934,4.703,5.354,0,0,0,10.823,0,0,0,10.823,"&nbsp;",0,"1_Worst",131,86,99,99,-3
"34",2,"My self help story","4/19/21 18:09","4/19/21 18:28","IP Address",100,1168,TRUE,"4/19/21 18:29",NA,NA,NA,NA,"anonymous","EN","I have read the above information, have had the opportunity to have any questions about this study answered and agree to participate in this study.",0,0,4.325,0,0,0,14.671,0,"male","Yes",55,"White","Bachelor’s degree (e.g. BA, BS)",9,4,"Nothing unclear","It was very interesting reading these moral dilemmas","B",11,"1_2_3_4_5_6_7_8_9_10_11_12",61,1,2,"Best",2,75,28,5,4.263,14.463,15.67,0,0,0,37.484,0,0,0,37.484,"&nbsp;",51,"2_Best",132,52,143,132,23
"35",2,"My self help story","4/19/21 18:06","4/19/21 18:21","IP Address",100,889,TRUE,"4/19/21 18:21",NA,NA,NA,NA,"anonymous","EN","I have read the above information, have had the opportunity to have any questions about this study answered and agree to participate in this study.",10.574,10.574,30.877,1,14.49,14.49,22.996,1,"male","Yes",78,"White","Some college, no degree",4,4,"Nothing was unclear at all.","No, but thank you!","W",11,"1_2_3_4_5_6_7_8_9_10_11_12",21,2,2,"Best",2,100,35,3,3.746,10.788,11.716,1,3.516,3.516,29.544,1,3.516,3.516,29.544,"&nbsp;",54,"2_Best",132,52,143,132,19
"36",2,"My self help story","4/19/21 21:35","4/19/21 21:54","IP Address",100,1198,TRUE,"4/19/21 21:54",NA,NA,NA,NA,"anonymous","EN","I have read the above information, have had the opportunity to have any questions about this study answered and agree to participate in this study.",0,0,5.319,0,0,0,4.786,0,"feale","Yes",57,"Black or African American","Some college, no degree",3,2,"999","999","B",11,"1_2_3_4_5_6_7_8_9_10_11_12",224,2,2,"Best",2,100,51,4,4.166,11.917,13.323,0,0,0,26.451,0,0,0,26.45,"&nbsp;",51,"2_Best",132,52,143,132,0
"37",2,"My self help story","4/19/21 22:09","4/19/21 22:26","IP Address",100,983,TRUE,"4/19/21 22:26",NA,NA,NA,NA,"anonymous","EN","I have read the above information, have had the opportunity to have any questions about this study answered and agree to participate in this study.",0,0,14.98,0,0,0,10.346,0,"Male","Yes",48,"Black or African American","Associate degree (e.g. AA, AS)",7,1,"Nothing was unclear","No","N",11,"1_2_3_4_5_6_7_8_9_10_11_12",250,2,2,"Worst",2,100,0,3,2.238,7.979,8.767,0,0,0,34.535,0,0,0,34.534,"&nbsp;",0,"2_Worst",132,52,143,143,0
"38",2,"My self help story","4/19/21 22:58","4/19/21 23:09","IP Address",100,647,TRUE,"4/19/21 23:09",NA,NA,NA,NA,"anonymous","EN","I have read the above information, have had the opportunity to have any questions about this study answered and agree to participate in this study.",0,0,2.657,0,0,0,7.955,0,"Male","Yes",25,"White,Hispanic, Latinx, or Spanish origin","High school degree or equivalent (e.g. GED)",4,4,"N/A","Surveys rule!","N",11,"1_2_3_4_5_6_7_8_9_10_11_12",267,2,2,"Worst",2,67,35,5,3.024,7.692,10.175,0,0,0,27.318,0,0,0,27.318,"&nbsp;",41,"2_Worst",132,52,143,143,6
"39",2,"My self help story","4/19/21 18:02","4/19/21 18:26","IP Address",100,1414,TRUE,"4/19/21 18:26",NA,NA,NA,NA,"anonymous","EN","I have read the above information, have had the opportunity to have any questions about this study answered and agree to participate in this study.",0,0,11.619,0,0,0,156.234,0,"female","Yes",27,"Asian","Bachelor’s degree (e.g. BA, BS)",6,1,"there was none.","best of luck.:)","W",11,"1_2_3_4_5_6_7_8_9_10_11_12",51,3,2,"Original",2,56,38,8,3.76,20.101,21.59,0,0,0,39.363,0,0,0,39.362,"&nbsp;",55,"2_Original",132,52,143,52,17
"40",2,"My self help story","4/19/21 21:28","4/19/21 21:39","IP Address",100,617,TRUE,"4/19/21 21:39",NA,NA,NA,NA,"anonymous","EN","I have read the above information, have had the opportunity to have any questions about this study answered and agree to participate in this study.",0,0,7.685,0,0,0,12.185,0,"Female","Yes",37,"White","Master’s degree (e.g. MA, MS, MEd)",4,3,"For the last question I found it hard to say that any of them WANTED to appear morally bad.","999","W",11,"1_2_3_4_5_6_7_8_9_10_11_12",209,3,2,"Worst",2,84,8,3,3.211,7.942,8.733,0,0,0,27.129,0,0,0,27.128,"&nbsp;",13,"2_Worst",132,52,143,143,5
"41",2,"My self help story","4/19/21 21:35","4/19/21 22:10","IP Address",100,2147,TRUE,"4/19/21 22:10",NA,NA,NA,NA,"anonymous","EN","I have read the above information, have had the opportunity to have any questions about this study answered and agree to participate in this study.",0,0,67.866,0,0,0,31.823,0,"Female","Yes",40,"Black or African American","Bachelor’s degree (e.g. BA, BS)",7,3,"999","999","N",11,"1_2_3_4_5_6_7_8_9_10_11_12",236,3,2,"Worst",2,100,47,5,2.478,7.8,8.476,0,0,0,73.087,0,0,0,73.086,"&nbsp;",73,"2_Worst",132,52,143,143,26
"42",2,"My self help story","4/19/21 18:47","4/19/21 19:09","IP Address",100,1302,TRUE,"4/19/21 19:09",NA,NA,NA,NA,"anonymous","EN","I have read the above information, have had the opportunity to have any questions about this study answered and agree to participate in this study.",0,0,11.329,0,0,0,15.915,0,"Male","Yes",69,"White","Some college, no degree",7,3,"The study was clear and the instructions easy to follow.","Interesting. It had my full attention.","B",11,"1_2_3_4_5_6_7_8_9_10_11_12",129,5,2,"Worst",2,18,8,3,4.8,22.005,23.435,0,0,0,37.762,0,0,0,37.762,"&nbsp;",16,"2_Worst",132,52,143,143,8
"43",2,"My self help story","4/19/21 21:13","4/19/21 21:35","IP Address",100,1317,TRUE,"4/19/21 21:35",NA,NA,NA,NA,"anonymous","EN","I have read the above information, have had the opportunity to have any questions about this study answered and agree to participate in this study.",0,0,6.233,0,0,0,5.5,0,"female","Yes",41,"White","Bachelor’s degree (e.g. BA, BS)",2,4,"Everything was fine.","no","B",11,"1_2_3_4_5_6_7_8_9_10_11_12",203,5,2,"Original",2,100,50,5,3.881,18.85,20.827,0,0,0,11.373,0,0,0,11.372,"&nbsp;",51,"2_Original",132,52,143,52,1
